"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2000","134.68","134.68","134.68","134.68","","-0.06%"
"09/28/2000","134.76","134.76","134.76","134.76","","0.11%"
"09/27/2000","134.61","134.61","134.61","134.61","","-0.45%"
"09/26/2000","135.22","135.22","135.22","135.22","","-0.49%"
"09/25/2000","135.88","135.88","135.88","135.88","","-0.89%"
"09/22/2000","137.10","137.10","137.10","137.10","","0.70%"
"09/21/2000","136.15","136.15","136.15","136.15","","0.04%"
"09/20/2000","136.09","136.09","136.09","136.09","","0.00%"
"09/19/2000","136.09","136.09","136.09","136.09","","-0.53%"
"09/18/2000","136.82","136.82","136.82","136.82","","1.13%"
"09/15/2000","135.29","135.29","135.29","135.29","","0.42%"
"09/14/2000","134.72","134.72","134.72","134.72","","0.51%"
"09/13/2000","134.03","134.03","134.03","134.03","","0.01%"
"09/12/2000","134.02","134.02","134.02","134.02","","0.04%"
"09/11/2000","133.96","133.96","133.96","133.96","","0.01%"
"09/08/2000","133.95","133.95","133.95","133.95","","-0.13%"
"09/07/2000","134.13","134.13","134.13","134.13","","0.28%"
"09/06/2000","133.75","133.75","133.75","133.75","","0.18%"
"09/05/2000","133.51","133.51","133.51","133.51","","0.08%"
"09/04/2000","133.40","133.40","133.40","133.40","","-0.10%"
"09/01/2000","133.54","133.54","133.54","133.54","","-0.29%"
"08/31/2000","133.93","133.93","133.93","133.93","","0.02%"
"08/30/2000","133.90","133.90","133.90","133.90","","-0.13%"
"08/29/2000","134.08","134.08","134.08","134.08","","-0.12%"
"08/28/2000","134.24","134.24","134.24","134.24","","-0.23%"
"08/25/2000","134.55","134.55","134.55","134.55","","-0.01%"
"08/24/2000","134.56","134.56","134.56","134.56","","-0.04%"
"08/23/2000","134.61","134.61","134.61","134.61","","0.04%"
"08/22/2000","134.55","134.55","134.55","134.55","","-0.04%"
"08/21/2000","134.60","134.60","134.60","134.60","","-0.05%"
"08/18/2000","134.67","134.67","134.67","134.67","","0.05%"
"08/17/2000","134.60","134.60","134.60","134.60","","-0.06%"
"08/16/2000","134.68","134.68","134.68","134.68","","-0.10%"
"08/15/2000","134.82","134.82","134.82","134.82","","-0.02%"
"08/14/2000","134.85","134.85","134.85","134.85","","0.09%"
"08/11/2000","134.73","134.73","134.73","134.73","","0.10%"
"08/10/2000","134.60","134.60","134.60","134.60","","-0.03%"
"08/09/2000","134.64","134.64","134.64","134.64","","-0.15%"
"08/08/2000","134.84","134.84","134.84","134.84","","-0.08%"
"08/07/2000","134.95","134.95","134.95","134.95","","0.16%"
"08/04/2000","134.73","134.73","134.73","134.73","","0.06%"
"08/03/2000","134.65","134.65","134.65","134.65","","-0.08%"
"08/02/2000","134.76","134.76","134.76","134.76","","-0.01%"
"08/01/2000","134.77","134.77","134.77","134.77","","-0.09%"
"07/31/2000","134.89","134.89","134.89","134.89","","0.01%"
"07/28/2000","134.88","134.88","134.88","134.88","","0.20%"
"07/27/2000","134.61","134.61","134.61","134.61","","-0.09%"
"07/26/2000","134.73","134.73","134.73","134.73","","0.00%"
"07/25/2000","134.73","134.73","134.73","134.73","","0.13%"
"07/24/2000","134.55","134.55","134.55","134.55","","0.11%"
"07/21/2000","134.40","134.40","134.40","134.40","","0.11%"
"07/20/2000","134.25","134.25","134.25","134.25","","-0.06%"
"07/19/2000","134.33","134.33","134.33","134.33","","-0.13%"
"07/18/2000","134.50","134.50","134.50","134.50","","0.06%"
"07/17/2000","134.42","134.42","134.42","134.42","","0.01%"
"07/14/2000","134.40","134.40","134.40","134.40","","0.19%"
"07/13/2000","134.14","134.14","134.14","134.14","","-0.44%"
"07/12/2000","134.73","134.73","134.73","134.73","","-0.07%"
"07/11/2000","134.83","134.83","134.83","134.83","","-0.24%"
"07/10/2000","135.15","135.15","135.15","135.15","","0.04%"
"07/07/2000","135.10","135.10","135.10","135.10","","0.13%"
"07/06/2000","134.92","134.92","134.92","134.92","","0.00%"
"07/05/2000","134.92","134.92","134.92","134.92","","0.16%"
"07/04/2000","134.71","134.71","134.71","134.71","","0.13%"
"07/03/2000","134.54","134.54","134.54","134.54","","-0.11%"
"06/30/2000","134.69","134.69","134.69","134.69","","0.02%"
"06/29/2000","134.66","134.66","134.66","134.66","","-0.14%"
"06/28/2000","134.85","134.85","134.85","134.85","","-0.18%"
"06/27/2000","135.09","135.09","135.09","135.09","","0.01%"
"06/26/2000","135.08","135.08","135.08","135.08","","-0.11%"
"06/23/2000","135.23","135.23","135.23","135.23","","0.05%"
"06/22/2000","135.16","135.16","135.16","135.16","","-0.04%"
"06/21/2000","135.22","135.22","135.22","135.22","","-0.02%"
"06/20/2000","135.25","135.25","135.25","135.25","","-0.23%"
"06/19/2000","135.56","135.56","135.56","135.56","","0.51%"
"06/16/2000","134.87","134.87","134.87","134.87","","0.14%"
"06/15/2000","134.68","134.68","134.68","134.68","","0.04%"
"06/14/2000","134.62","134.62","134.62","134.62","","0.01%"
"06/13/2000","134.61","134.61","134.61","134.61","","0.07%"
"06/12/2000","134.51","134.51","134.51","134.51","","-0.15%"
"06/09/2000","134.71","134.71","134.71","134.71","","-0.04%"
"06/08/2000","134.76","134.76","134.76","134.76","","0.21%"
"06/07/2000","134.48","134.48","134.48","134.48","","-0.30%"
"06/06/2000","134.89","134.89","134.89","134.89","","-0.09%"
"06/05/2000","135.01","135.01","135.01","135.01","","-0.68%"
"06/02/2000","135.93","135.93","135.93","135.93","","-0.65%"
"06/01/2000","136.82","136.82","136.82","136.82","","0.26%"
"05/31/2000","136.46","136.46","136.46","136.46","","-0.61%"
"05/30/2000","137.30","137.30","137.30","137.30","","-0.08%"
"05/29/2000","137.41","137.41","137.41","137.41","","0.20%"
"05/26/2000","137.13","137.13","137.13","137.13","","0.46%"
"05/25/2000","136.50","136.50","136.50","136.50","","-0.28%"
"05/24/2000","136.89","136.89","136.89","136.89","","-0.09%"
"05/23/2000","137.01","137.01","137.01","137.01","","0.27%"
"05/22/2000","136.64","136.64","136.64","136.64","","0.84%"
"05/19/2000","135.50","135.50","135.50","135.50","","0.28%"
"05/18/2000","135.12","135.12","135.12","135.12","","0.27%"
"05/17/2000","134.75","134.75","134.75","134.75","","0.09%"
"05/16/2000","134.63","134.63","134.63","134.63","","-0.06%"
"05/15/2000","134.71","134.71","134.71","134.71","","0.16%"
"05/12/2000","134.49","134.49","134.49","134.49","","0.07%"
"05/11/2000","134.39","134.39","134.39","134.39","","0.31%"
"05/10/2000","133.97","133.97","133.97","133.97","","-0.01%"
"05/09/2000","133.98","133.98","133.98","133.98","","-0.03%"
"05/08/2000","134.02","134.02","134.02","134.02","","-0.16%"
"05/05/2000","134.24","134.24","134.24","134.24","","0.02%"
"05/04/2000","134.21","134.21","134.21","134.21","","0.12%"
"05/03/2000","134.05","134.05","134.05","134.05","","0.01%"
"05/02/2000","134.04","134.04","134.04","134.04","","-0.01%"
"05/01/2000","134.06","134.06","134.06","134.06","","0.02%"
"04/28/2000","134.03","134.03","134.03","134.03","","-0.07%"
"04/27/2000","134.12","134.12","134.12","134.12","","0.22%"
"04/26/2000","133.83","133.83","133.83","133.83","","-0.02%"
"04/25/2000","133.86","133.86","133.86","133.86","","-0.05%"
"04/24/2000","133.93","133.93","133.93","133.93","","0.02%"
"04/21/2000","133.90","133.90","133.90","133.90","","-0.04%"
"04/20/2000","133.95","133.95","133.95","133.95","","-0.04%"
